,year,region,total_of_accidents,total_of_dead,total_of_injured,driving_licese,latitude,longitude
309,2016,Northern Boarder,13196.0,193.0,631.0,4958,30.197074783,41.8171186952
310,2016,Riyadh,141736.0,1430.0,4207.0,242851,23.0814341634,45.5857512766
311,2016,Tabouk,16031.0,434.0,1724.0,13610,27.90165499,37.2598581394
312,2017,Al-Baha,1414.0,134.0,1007.0,4131,20.1484058503,41.4665484892
313,2017,Al-Jouf,10469.0,240.0,862.0,8091,29.9677445762,39.5570371172
314,2017,Al-Qaseem,22405.0,319.0,1446.0,6318,26.1967063704,43.3429998455
315,2017,Assir,25245.0,828.0,2368.0,39133,19.1387847401,42.941470036
316,2017,Eastern,81433.0,963.0,4073.0,126816,23.2883307307,50.1478302439
317,2017,Hail,9379.0,265.0,773.0,22035,27.400845724,41.4406960508
318,2017,Jazan,22161.0,466.0,2207.0,18345,17.2072313962,42.6525807422
319,2017,Madinah,16070.0,580.0,2917.0,36165,24.927534539,39.4918237173
320,2017,Makkah,145541.0,1641.0,10623.0,142487,21.628962766,41.2636898334
321,2017,Najran,3193.0,194.0,766.0,13825,18.4511003068,46.8688495726
322,2017,Northern Boarder,11540.0,112.0,374.0,5280,30.197074783,41.8171186952
323,2017,Riyadh,99925.0,1399.0,4540.0,495307,23.0814341634,45.5857512766
324,2017,Tabouk,11713.0,348.0,1243.0,10232,27.90165499,37.2598581394
